id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
2101149,THOMAS,EDWIN HORTON,E H,28,D F M,14/01/1944,,Flying Officer,Royal Canadian Air Force,,514 (R.A.F.) Sqdn.,Germany,'J/18090',HANOVER WAR CEMETERY,Coll. grave 1. A. 8-9.,"Son of George and Louisa Thomas, of Vancouver, British Columbia, Canada."
2129750,THOMAS,ERNEST R.,E R,,,19/12/1941,,Signalman,Royal Canadian Corps of Signals,,,"China, (including Hong Kong)",'K/34801',SAI WAN MEMORIAL,Column 28.,
2181151,THOMAS,WILLIAM PYLE,W P,26,,17/07/1945,,Flying Officer,Royal Canadian Air Force,,358 (R.A.F.) Sqdn,Bangladesh,'J/45162',CHITTAGONG WAR CEMETERY,3. E. 2.,"Son of William and Florence Thomas; husband of Dorothy Elsie Thomas (nee Taylor), of Verdun, Province of Quebec, Canada."
2205338,THOMAS,DONALD FREDERICK,D F,18,,29/01/1944,,Private,"Hastings and Prince Edward Regiment, R.C.I.C.",,,Italy,'C/78177',MORO RIVER CANADIAN WAR CEMETERY,X. E. 8.,"Son of William Henry and Beatrice Isabella Thomas, of Bancroft, Ontario."
2214521,THOMAS,LLOYD R.,L R,27,,17/09/1944,,Lance Sergeant,"Queen's Own Rifles of Canada, R.C.I.C.",,,France,'A/71071',"CALAIS CANADIAN WAR CEMETERY, LEUBRINGHEN",6. A. 5.,"Son of Theadore W. and Lorna Thomas, of London, Ontario."
2221618,THOMAS,CLIFFORD,C,,,09/12/1942,,Private,"Winnipeg Grenadiers, R.C.I.C.",,,"China, (including Hong Kong)",'H/75233',SAI WAN WAR CEMETERY,VIII. F. 15.,
2228062,THOMAS,FERNAND,F,21,,26/04/1945,,Corporal,"Le Regiment de Maisonneuve, R.C.I.C.",,,Netherlands,'D/147101',HOLTEN CANADIAN WAR CEMETERY,X. B. 5.,"Husband of Pauline D. Thomas, of Montreal, Province of Quebec."
2228063,THOMAS,JAMES OLIVER,J O,33,,02/05/1945,,Private,Seaforth Highlanders of Canada,,,Netherlands,'K/51503',HOLTEN CANADIAN WAR CEMETERY,IV. E. 11.,"Son of Harry and Margaret Thomas, of Hodgson, Manitoba."
2228064,THOMAS,ROBERT BERNARD,R B,25,,05/05/1945,,Lance Sergeant,"Cape Breton Highlanders, R.C.I.C",,,Netherlands,'F/78580',HOLTEN CANADIAN WAR CEMETERY,VI. C. 1.,"Son of John Henry and Mary Ann Thomas, of Louisburg, Nova Scotia."
2228065,THOMAS,THOMAS LLEWELYN,T L,25,,14/04/1945,,Private,"Canadian Scottish Regiment, R.C.I.C.",,,Netherlands,'K/37325',HOLTEN CANADIAN WAR CEMETERY,IX. H. 16.,"Son of Stephen and Nellie Thomas, of Penticton, British Columbia."
2232846,THOMAS,ALBERT A.,A A,24,,12/03/1945,,Private,"Calgary Highlanders, R.C.I.C.",,,Netherlands,'B/19832',GROESBEEK CANADIAN WAR CEMETERY,XVI. E. 11.,"Son of Allen Albert and Elizabeth Thomas, of Toronto, Ontario."
2232847,THOMAS,BERNARD WILLIAM,B W,22,,03/01/1945,,Private,"Calgary Highlanders, R.C.I.C.",,,Netherlands,'M/65225',GROESBEEK CANADIAN WAR CEMETERY,I. C. 11.,"Son of William and Rosene Thomas, of Perryvale, Alberta."
2232848,THOMAS,BERT J.,B J,,,30/03/1945,,Private,"Queen's Own Cameron Highlanders of Canada, R.C.I.C.",,,Netherlands,'H/10481',GROESBEEK CANADIAN WAR CEMETERY,XIX. D. 8.,
2232849,THOMAS,EUGENE R.,E R,20,,03/03/1945,,Rifleman,"Queen's Own Rifles of Canada, R.C.I.C.",,,Netherlands,'D/142366',GROESBEEK CANADIAN WAR CEMETERY,VII. H. 3.,"Son of Godfrey and Theresa Thomas, of Montreal, Province of Quebec."
2232850,THOMAS,EVERETT GEORGE,E G,20,,28/01/1945,,Private,"Lincoln and Welland Regiment, R.C.I.C.",,,Netherlands,'B/119690',GROESBEEK CANADIAN WAR CEMETERY,XV. H. 1.,"Son of Everett C. and Lena M. Thomas, of Oshawa, Ontario; husband of Dorothy May Thomas, of Oshawa."
2232851,THOMAS,FELIX C.,F C,28,,08/03/1945,,Private,"Lincoln and Welland Regiment, R.C.I.C.",,,Netherlands,'K/51709',GROESBEEK CANADIAN WAR CEMETERY,IV. H. 2.,"Son of Edwin Felix and Dorothy Thomas; husband of Sophie Edith Thomas, of Royston, British Columbia."
2232852,THOMAS,GEORGE C.,G C,21,,28/03/1945,,Private,"Canadian Scottish Regiment, R.C.I.C.",,,Netherlands,'K/4407',GROESBEEK CANADIAN WAR CEMETERY,XX. C. 14.,"Son of Evelyn Thomas, of North Burnaby, British Columbia."
2232853,THOMAS,GEORGE STANDLEY,G S,28,,15/12/1944,,Sergeant,"Queen's Own Cameron Highlanders of Canada, R.C.I.C.",,,Netherlands,'H/19436',GROESBEEK CANADIAN WAR CEMETERY,V. C. 6.,"Son of George and Beatrice Thomas; husband of Bettie Thomas, of Grimsby, Lincolnshire, England."
2232855,THOMAS,PETER A.,P A,28,,30/03/1945,,Corporal,"Canadian Scottish Regiment, R.C.I.C.",,2nd Bn.,Netherlands,'K/98192',GROESBEEK CANADIAN WAR CEMETERY,XIV. A. 12.,"Son of Alec and Christine Thomas, of Fraser Lake, British Columbia."
2256065,THOMAS,DOUGLAS OSBORNE,D O,22,,13/05/1944,,Pilot Officer,Royal Canadian Air Force,,640 (R.A.F.) Sqdn,Belgium,'J/87559',SCHOONSELHOF CEMETERY,IVa. E. 36-42 (Coll.),"Son of Harold E. Thomas, and of Agnes T. Thomas, of Toronto, Ontario, Canada."
2265403,THOMAS,GEORGE WILFRID,G W,22,,07/08/1945,,Leading Aircraftman,Royal Canadian Air Force,,,Canada,'R/196172',SUDBURY LA SALLE CEMETERY,Sec. 1. Lot 1005. Grave 2.,"Son of George and Martha Thomas; brother of Charlie A. Thomas, of Wahnapitae."
2265641,THOMAS,DOUGLAS WILLIAM,D W,21,,23/07/1946,,Private,Royal Canadian Army Service Corps,,,Canada,'B/116123',TORONTO (MOUNT PLEASANT) CEMETERY,Sec. 33. Grave 2109.,"Son of Lotta Thomas, of Toronto."
2265995,THOMAS,CYRIL HAROLD,C H,26,,22/06/1944,,Flight Sergeant,Royal Canadian Air Force,,,Canada,'R/ 165179',TORONTO (PROSPECT) CEMETERY,Naval and Mil. Plot. Sec. 1. Grave 511.,"Son of Arthur Edward and Ida May Thomas, of Toronto, husband of Elizabeth Thomas, of Toronto."
2266206,THOMAS,YESTYN LLEWELLYN,Y L,22,,18/11/1943,,Pilot Officer,Royal Canadian Air Force,,,Canada,'J/27202',WHITBY (MOUNT LAWN) CEMETERY,Sec.G. Plot 1. Lot 24. Block 6.,"Son of David John and Mildred Thomas, of Whitby."
2280539,THOMAS,WILBERT HARRY,W H,21,,23/10/1942,,Flying Officer,Royal Canadian Air Force,,158 (R.A.F.) Sqdn.,France,'J/9551',PIHEN-LES-GUINES WAR CEMETERY,1. A. 9.,"Son of William Daniel and Edith Alimina Thomas, of Toronto, Ontario, Canada."
2317479,THOMAS,ARTHUR EVANS COSDETT,A E C,21,,28/06/1944,,Pilot Officer,Royal Canadian Air Force,,106 (R.A.F.) Sqdn.,France,'J/88633',"DIEPPE CANADIAN WAR CEMETERY, HAUTOT-SUR-MER",M. 14.,"Son of David C. and Mary J. Thomas, of Winnipeg, Manitoba."
2335745,THOMAS,E. CRAIG,E C,21,,08/08/1944,,Gunner,Royal Canadian Artillery,,2 Survey Regt.,France,'M/41268',BRETTEVILLE-SUR-LAIZE CANADIAN WAR CEMETERY,II. C. 12.,"Son of A. O. and Blanche Thomas, of Coronation, Alberta."
