id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
2145188,BEAUMONT-THOMAS,LIONEL,L,49,M C,07/12/1942,,Colonel,Royal Artillery,,,United Kingdom,,BROOKWOOD 1939-1945 MEMORIAL,Panel 1. Column 1.,"Son of Richard and Nora Beaumont-Thomas; husband of Iseult Margery Beaumont-Thomas, of Winchelsea, Sussex. M.P. for King's Norton Division of Birmingham, 1929/1935. J.P. His son Nigel also died on service."
3009607,BEAUMONT-THOMAS,NIGEL,N,28,,20/09/1944,,Captain,Royal Engineers,,4 Parachute Sqdn.,Netherlands,'93266',ARNHEM OOSTERBEEK WAR CEMETERY,17. A. 11.,"Son of Colonel Lionel Beaumont-Thomas, M.C., General List, Lost in M.V. Henry Stanley, 7th December 1942 and of Pauline Grace Beaumont-Thomas, of South Kensington, London. B.A. (Cantab.) Trinity College."
2180583,BEN THOMAS,,,,,14/08/1945,,Driver,"West African Army Service Corps, R.W.A.F.F.",,,Bangladesh,'NA/41885',CHITTAGONG WAR CEMETERY,7. H. 1.,
2182579,CAREY-THOMAS,OSWALD GASKELL CAREY,O G C,29,,23/03/1943,,Major,"Royal Tank Regiment, R.A.C.",,3rd,Tunisia,'58694',SFAX WAR CEMETERY,XIII. E. 21.,"Son of Arthur Percy and Grace Emily Carey-Thomas; husband of Elizabeth Barbara Carey-Thomas, of Lisvane, Glamorgan."
2662996,COSLETT-THOMAS,OSCAR DONALD,O D,,,03/03/1945,,Private,"Queen's Own Cameron Highlanders of Canada, R.C.I.C.",,,Netherlands,'H/22281',GROESBEEK CANADIAN WAR CEMETERY,XXI. F. 16.,
508170,DAVEY-THOMAS,EDWARD LLEWELLYN,E L,27,,20/02/1915,,Lance Corporal,Princess Patricia's Canadian Light Infantry (Eastern Ontario Regiment),,,France,'1712',WIMEREUX COMMUNAL CEMETERY,I. D. 11.,"Son of Philip and Catherine Davey-Thomas, of Eglos, Ludgvan, Cornwall."
2897691,FRANCIS THOMAS,,,,,03/11/1945,,Corporal,"African Pioneer Corps (West Africa), R.W.A.F.F.",,,Egypt,'NA/209287',SUEZ AFRICAN AND INDIAN ARMY WAR CEMETERY,3. C. 2.,
239171,FRANS THOMAS,,,,,27/01/1918,,Private,South African Native Labour Corps,,26th Bn.,France,'14763',ARQUES-LA-BATAILLE BRITISH CEMETERY,I. F. 2.,
878657,FREEMAN-THOMAS,The Hon. GERARD FREDERICK,G F,21,,14/09/1914,,Second Lieutenant,Coldstream Guards,,1st Bn.,France,,LA FERTE-SOUS-JOUARRE MEMORIAL,,"Son of 1st Viscount Willingdon and Viscountess Willingdon, of 5, Lygon Place, London and of Ratton, Willingdon, Sussex."
445927,GLANFFRWD-THOMAS,URIEN VICTOR,U V,32,,12/06/1915,,Private,Devonshire Regiment,,1st Bn.,Belgium,'13062',CHESTER FARM CEMETERY,III. F. 10.,"Native of St. Asaph, Flints. Son of the late Rev. Glanffrwd-Thomas and Mrs. Glanffrwd-Thomas, of Swansea."
2633401,HAIG-THOMAS,DAVID,D,35,,06/06/1944,,Lieutenant,Royal Army Service Corps,Commando,,France,'120492',BAVENT CHURCHYARD,,"Son of Peter and Maud Haig-Thomas, husband of Nancy Haig-Thomas, of Kirby-le-Soken, Essex."
29472,HARKER-THOMAS,BASIL BOWEN,B B,24,,07/01/1917,,Lance Corporal,2nd Canadian Mounted Rifles Battalion,,,France,'117583',"LOUEZ MILITARY CEMETERY, DUISANS",III. G. 3.,"Son of Francis and Marian Augusta Harker-Thomas, of 36, Beechwood Avenue, Kew Gardens, Surrey."
596133,HARKER-THOMAS,FRANCIS ROWLANDS,F R,32,,27/09/1918,,Lieutenant,Canadian Infantry,,102nd Bn.,France,,"QUARRY WOOD CEMETERY, SAINS-LES-MARQUION",II. C. 5.,"Son of Francis Harker-Thomas, of 36, Beechwood Avenue, Kew Gardens, Richmond, Surrey, England."
2691620,HAYDEN-THOMAS,PIETER J.,P J,27,A F C,16/06/1944,,Major,South African Air Force,,,United Kingdom,'P/102652V',BATH (HAYCOMBE) CEMETERY,Plot 39. Sec. H. Row A. Grave 243.,"Son of William D. Hayden-Thomas and Frances E. Hayden-Thomas; husband of Sylvia Hayden-Thomas, of Sydenham. Johannesburg, Transvaal, South Africa."
2191880,INEBUCHI THOMAS,,,,,03/04/1944,,Gunner,"West African Artillery, R.W.A.F.F.",,,India,'NA/47625',"CALCUTTA (BHOWANIPORE) CEMETERY, KOLKATA",Plot L. Grave 142.,
419602,JOE THOMAS,,,,,26/04/1918,,Fireman,Mercantile Marine Reserve,,"H.M.S. ""Bombala.""",Sierra Leone,'',FREETOWN MEMORIAL,,
127932,JOHN THOMAS,,,25,,16/02/1918,,Private 2nd Class,"Nigeria Regiment, W.A.F.F.",,,South Africa,,CAPE TOWN (MAITLAND) CEMETERY,Sec. 4. 98732B.,
2808885,JOSEPH THOMAS,,,,,03/04/1941,,Private,East African Military Labour Corps,,,Kenya,'TML/77700',NANYUKI WAR CEMETERY,7. 20.,
2435152,KEITH-THOMAS,ANTHONY,A,20,,06/11/1944,,Flying Officer,Royal Air Force Volunteer Reserve,,122 Sqdn.,United Kingdom,'150348',MORTLAKE CREMATORIUM,Panel 8.,"Son of Cyril and Gwendoline Keith-Thomas, of Ealing, Middlesex."
445042,LEE-THOMAS,HENRY,H,,,08/01/1918,,Lance Corporal,"Australian Infantry, A.I.F.",,10th Bn.,Belgium,'959',RATION FARM (LA PLUS DOUVE) ANNEXE,III. B. 18.,"Son of John and Sarah Ann Lee-Thomas; husband of R. Lee-Thomas, of Bordertown, South Australia. Native of Majorca, Victoria, Australia."
4029527,LEEUW THOMAS,,,,,11/10/1918,,Labourer,East African Expeditionary Force,,,Lesotho,'10928',LESOTHO MEMORIAL,,
339590,LINA THOMAS,,,,,20/05/1918,,Labourer,Indian Labour Corps,,,France,'272',"MAZARGUES WAR CEMETERY, MARSEILLES",VI. B. 13.,
322553,LOVETT-THOMAS,,R S,,M C,12/03/1917,,Second Lieutenant,Royal Field Artillery,,165th Bde.,France,,HEBUTERNE MILITARY CEMETERY,III. Q. 1.,
3060525,MARLES-THOMAS,LEWIS WILLIAM,L W,40,,29/04/1917,,Second Mate,Mercantile Marine,,"S.S. ""Daleby"" (West Hartlepool)",United Kingdom,,TOWER HILL MEMORIAL,,"Son of the late Rev. William Marles-Thomas, and Mary (Gwilym Marles) Marles-Thomas (nee Williams). Born at Llandyssul, Cardiganshire."
2651389,MOY-THOMAS,JAMES ALAN,J A,,,29/02/1944,,Flight Lieutenant,Royal Air Force Volunteer Reserve,,,United Kingdom,'66643',CAMBRIDGE CITY CEMETERY,Grave 14153.,"Son of Alan and Gertrude Moy-Thomas; husband of J. Moy-Thomas, of Oxford. His brother, Edward Alfred, also died on service."
2661297,MOY-THOMAS,EDWARD ALFRED,E A,34,,20/09/1944,,Captain,Oxford and Bucks Light Infantry,,,Netherlands,'148593',ARNHEM OOSTERBEEK WAR CEMETERY,16. B. 15.,"Son of Alan and Gertrude Moy-Thomas; husband of Wilma Mary Moy-Thomas, of Highgate, Middlesex. His brother James Alan also died on service."
2155258,MULEMWA THOMAS,,,,,15/10/1944,,Private,East African Army Service Corps,,,Sri Lanka,'NRA/21391',COLOMBO (LIVERAMENTU) CEMETERY,2. F. 7.,
123842,PETER THOMAS,,,,,16/12/1918,,Follower,Indian Postal and Telegraph Department,,,Tanzania,'1016',PUGU ROAD 1914-1918 MEMORIAL,133.,
420895,REES-THOMAS,HARRY,H,46,,04/06/1918,,Corporal,Canadian Engineers,,,Canada,'2135',VANCOUVER (MOUNTAIN VIEW) CEMETERY,Jones 38. 34. 14.,"Son of the late Mr. Rees-Thomas, of Merthyr Tydfil, Wales; husband of Laura Rees-Thomas, of 222 45th Avenue East, Vancouver."
2217104,SAMSON THOMAS,,,,,11/12/1943,,Private,King's African Rifles,,,Kenya,'DN/16790',MOMBASA (MANYIMBO) WAR CEMETERY,E. 19.,
2897800,SAMSON THOMAS,,,,,06/02/1942,,Private,African Pioneer Corps (East Africa),,,Egypt,'TML/84249',SUEZ AFRICAN AND INDIAN ARMY WAR CEMETERY,2. A. 3.,
264649,SANDYS-THOMAS,WALTER JONES,W J,24,,04/02/1917,,Second Lieutenant,South Wales Borderers,,3rd Bn. attd. 2nd Bn.,France,,"A.I.F. BURIAL GROUND, FLERS",V. H. 15.,"Son of Walter Sandys-Thomas and Violet, his wife, of Llanthomas. Hay, Breconshire."
3044269,SAXBY-THOMAS,DOUGLAS ROSCOE,D R,,,25/01/1917,,Lieut-Commander,Royal Navy,,"H.M.S. ""Laurentic.""",United Kingdom,,PLYMOUTH NAVAL MEMORIAL,20.,
